,17_group,18_group,blended,fall_1,fall_2,fall_3,id,is_first_place,is_first_time,is_last_place,is_mi,is_ml_student,percentile,rating,spring_1,spring_2,spring_3,timestamp
134,0.0,187.0,,Матричные вычисления,Сбор и обработка данных с помощью краудсорсинга,Моделирование временных рядов,ffc58d371e2f52e1c7f45d49d3d629d0,False,Нет,False,0.0,1.0,0.3699551569506726,659,Системы баз данных,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,2020-05-18 21:27:02.445
135,0.0,183.0,,Безопасность компьютерных систем,Высокопроизводительные вычисления,Матричные вычисления,aa21f50934a72e00bbc7e65a54ea0bcc,False,Нет,False,0.0,0.0,0.3318385650224215,666,Машинное обучение 2,Компьютерные сети,Дискретная оптимизация,2020-05-18 21:31:54.983
136,0.0,188.0,,Моделирование временных рядов,Матричные вычисления,Язык SQL,a69948a1730e412eab71a4d4e70791e2,False,Да,False,0.0,0.0,0.3497757847533632,663,Машинное обучение 2,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,2020-05-18 21:35:05.042
137,0.0,185.0,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Теория баз данных,2826fc94cd575c8f7b0a2416506e70e5,False,Да,False,0.0,0.0,0.5874439461883407,614,Дискретная оптимизация,Машинное обучение 2,Компьютерные сети,2020-05-18 21:36:30.617
138,0.0,187.0,,Безопасность компьютерных систем,Моделирование временных рядов,Язык SQL,b3e75ee2a708cef65cc2f80da894dd50,False,Да,False,0.0,0.0,0.8295964125560538,560,Анализ данных в бизнесе,Промышленное программирование на языке Java,Численные методы,2020-05-18 21:38:00.271
139,0.0,183.0,,Язык SQL,Сбор и обработка данных с помощью краудсорсинга,Высокопроизводительные вычисления,ea9d7e5f21ee102565b1437b26eb1144,False,Да,False,0.0,0.0,0.7309417040358744,582,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,2020-05-18 21:41:33.419
140,0.0,188.0,,Язык SQL,Сбор и обработка данных с помощью краудсорсинга,Моделирование временных рядов,760529fb42ad1fd50071e2ceeadaaedc,False,Нет,False,0.0,0.0,0.7847533632286996,570,Промышленное программирование на языке Java,Машинное обучение 2,Компьютерные сети,2020-05-18 21:44:47.061
141,0.0,188.0,,Моделирование временных рядов,Язык SQL,Сбор и обработка данных с помощью краудсорсинга,b8dab0479a00af2eb75deaf54dd9a442,False,Да,False,1.0,0.0,0.1883408071748879,697,Промышленное программирование на языке Java,Дополнительные главы прикладной статистики,Дискретная оптимизация,2020-05-18 21:45:31.019
142,0.0,188.0,,Язык SQL,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,9fa4bc4eb50e574e88b670a86781860b,False,Нет,False,0.0,0.0,0.6502242152466368,600,Промышленное программирование на языке Java,Компьютерные сети,Машинное обучение 2,2020-05-18 21:47:05.660
143,0.0,185.0,,Моделирование временных рядов,Теория баз данных,Язык SQL,f8fab519d78047712c06798c8b7fe38f,False,Нет,False,1.0,0.0,0.8228699551569507,561,Промышленное программирование на языке Java,Машинное обучение 2,Компьютерные сети,2020-05-18 21:49:22.233
144,0.0,182.0,,Безопасность компьютерных систем,Матричные вычисления,Язык SQL,b6fcd3cdcbbd950b4207acb65ee12d03,False,Да,False,0.0,1.0,0.0717488789237668,737,Промышленное программирование на языке Java,Компьютерные сети,Дополнительные главы прикладной статистики,2020-05-18 21:51:40.811
145,0.0,188.0,,Язык SQL,Моделирование временных рядов,Матричные вычисления,9015b809a29fb65ce23d7addf16d770d,False,Нет,False,1.0,0.0,0.3385650224215246,665,Машинное обучение 2,Промышленное программирование на языке Java,Компьютерные сети,2020-05-18 21:51:52.845
146,0.0,182.0,,Безопасность компьютерных систем,Сбор и обработка данных с помощью краудсорсинга,Язык SQL,cabc5ea85cac3029dc2aecc4955f9cf3,False,Да,False,0.0,1.0,0.242152466367713,686,Дискретная оптимизация,Промышленное программирование на языке Java,Компьютерные сети,2020-05-18 21:53:48.048
147,0.0,184.0,,Безопасность компьютерных систем,Матричные вычисления,Сбор и обработка данных с помощью краудсорсинга,ac2fd77f2ec0186c95f16e6721fd5998,False,Да,False,0.0,1.0,0.9282511210762332,533,Системы баз данных,Компьютерные сети,Дополнительные главы прикладной статистики,2020-05-18 21:54:53.944
148,0.0,184.0,,Теория баз данных,Безопасность компьютерных систем,Моделирование временных рядов,6257850b5decedd464341a5b763e3b4a,False,Да,False,0.0,0.0,0.4977578475336323,631,Машинное обучение 2,Промышленное программирование на языке Java,Компьютерные сети,2020-05-18 21:56:01.890
149,0.0,186.0,,Сбор и обработка данных с помощью краудсорсинга,Безопасность компьютерных систем,Язык SQL,7f8feb54319e52cb63ad437f4128a9d8,False,Да,False,0.0,0.0,0.905829596412556,540,Машинное обучение 2,Компьютерные сети,Системы баз данных,2020-05-18 21:57:39.924
150,0.0,183.0,,Высокопроизводительные вычисления,Язык SQL,Принятие решений в условиях риска и неопределённости,f0f01fe07310ce6f403894eb624ac323,False,Нет,False,0.0,0.0,0.3811659192825112,657,Промышленное программирование на языке Java,Системы баз данных,Анализ данных в бизнесе,2020-05-18 21:59:29.361
151,0.0,184.0,,Statistical Learning Theory,Безопасность компьютерных систем,Матричные вычисления,723d5f32b699c971b4095a017c883ffa,False,Да,False,0.0,1.0,0.01793721973094176,759,Дополнительные главы прикладной статистики,Дискретная оптимизация,Численные методы,2020-05-18 21:59:48.193
